Source,Target,Weight,Type
Barvinok_SkoshenyiTsvit,Franko_PerekhresniStezhky,2,undirected
Barvinok_SkoshenyiTsvit,Franko_ZakharBerkut,4,undirected
Barvinok_SkoshenyiTsvit,Kobylianska_VNediliuRanoZilliaKopala,2,undirected
Barvinok_SkoshenyiTsvit,Nazaruk_KniazYaroslavOsmomysl,1,undirected
Barvinok_SkoshenyiTsvit,Ukrainka_Pryiazn,3,undirected
Cherniavskyi_VaeVictis,Hrinchenko_BratNaBrata,4,undirected
Cherniavskyi_VaeVictis,Hrinchenko_SeredTemnoiNochi,3,undirected
Cherniavskyi_VaeVictis,Krymskyi_NePorozumiiutsia,1,undirected
Cherniavskyi_VaeVictis,Myrnyi_KhibaRevutVoly,1,undirected
Fedkovych_Farmazony,Khotkevych_KaminnaDushia,2,undirected
Fedkovych_Farmazony,Makovei_KlopotySavchykhy,1,undirected
Fedkovych_Farmazony,Storozhenko_MarkoProkliatyi,3,undirected
Franko_BoaConstrictor,Franko_ZakharBerkut,2,undirected
Franko_BoaConstrictor,Kotsiubynskyi_TiniZabutykhPredkiv,4,undirected
Franko_BoaConstrictor,Nazaruk_KniazYaroslavOsmomysl,5,undirected
Franko_PerekhresniStezhky,Barvinok_SkoshenyiTsvit,2,undirected
Franko_PerekhresniStezhky,Franko_ZakharBerkut,5,undirected
Franko_PerekhresniStezhky,Iatskiv_Blyskavytsi,3,undirected
Franko_PerekhresniStezhky,Khotkevych_KaminnaDushia,3,undirected
Franko_PerekhresniStezhky,Kobylianska_Liudyna,5,undirected
Franko_PerekhresniStezhky,Kobylianska_Zemlia,1,undirected
Franko_PerekhresniStezhky,Konyskyi_SemenZhuk,3,undirected
Franko_PerekhresniStezhky,Martovych_Zabobon,1,undirected
Franko_PerekhresniStezhky,Nazaruk_KniazYaroslavOsmomysl,2,undirected
Franko_PerekhresniStezhky,Pchilka_Tovaryshky,1,undirected
Franko_PerekhresniStezhky,Ukrainka_NadMorem,2,undirected
Franko_PerekhresniStezhky,Vynnychenko_ZapyskyKyrpatohoMefistofelia,1,undirected
Franko_ZakharBerkut,Barvinok_SkoshenyiTsvit,4,undirected
Franko_ZakharBerkut,Franko_BoaConstrictor,2,undirected
Franko_ZakharBerkut,Franko_PerekhresniStezhky,5,undirected
Franko_ZakharBerkut,Iatskiv_Blyskavytsi,1,undirected
Franko_ZakharBerkut,Konyskyi_SemenZhuk,1,undirected
Franko_ZakharBerkut,Nazaruk_KniazYaroslavOsmomysl,6,undirected
Franko_ZakharBerkut,Vorobkevych_MestChornohortsia,2,undirected
Hrinchenko_BratNaBrata,Cherniavskyi_VaeVictis,4,undirected
Hrinchenko_BratNaBrata,Hrinchenko_PidTykhymyVerbamy,1,undirected
Hrinchenko_BratNaBrata,Hrinchenko_SeredTemnoiNochi,5,undirected
Hrinchenko_BratNaBrata,Myrnyi_KhibaRevutVoly,1,undirected
Hrinchenko_PidTykhymyVerbamy,Hrinchenko_BratNaBrata,1,undirected
Hrinchenko_PidTykhymyVerbamy,Hrinchenko_SeredTemnoiNochi,6,undirected
Hrinchenko_PidTykhymyVerbamy,Kulish_ChornaRada,2,undirected
Hrinchenko_PidTykhymyVerbamy,Myrnyi_KhibaRevutVoly,2,undirected
Hrinchenko_SeredTemnoiNochi,Cherniavskyi_VaeVictis,3,undirected
Hrinchenko_SeredTemnoiNochi,Hrinchenko_BratNaBrata,5,undirected
Hrinchenko_SeredTemnoiNochi,Hrinchenko_PidTykhymyVerbamy,6,undirected
Hrinchenko_SeredTemnoiNochi,Krymskyi_NePorozumiiutsia,2,undirected
Hrinchenko_SeredTemnoiNochi,Makovei_KlopotySavchykhy,1,undirected
Hrinchenko_SeredTemnoiNochi,Myrnyi_KhibaRevutVoly,4,undirected
Iatskiv_Blyskavytsi,Franko_PerekhresniStezhky,3,undirected
Iatskiv_Blyskavytsi,Franko_ZakharBerkut,1,undirected
Iatskiv_Blyskavytsi,Kobylianska_Liudyna,2,undirected
Kashchenko_BortsiZaPravdu,Kashchenko_PidKorsunem,6,undirected
Kashchenko_BortsiZaPravdu,Kashchenko_ZDnipraNaDunai,5,undirected
Kashchenko_BortsiZaPravdu,Levytskyi_HetmanIvanVyhovskyi,3,undirected
Kashchenko_BortsiZaPravdu,Nazaruk_KniazYaroslavOsmomysl,1,undirected
Kashchenko_PidKorsunem,Kashchenko_BortsiZaPravdu,6,undirected
Kashchenko_PidKorsunem,Kashchenko_ZDnipraNaDunai,4,undirected
Kashchenko_PidKorsunem,Koroliv_Chmelyk,3,undirected
Kashchenko_PidKorsunem,Nazaruk_KniazYaroslavOsmomysl,1,undirected
Kashchenko_ZDnipraNaDunai,Kashchenko_BortsiZaPravdu,5,undirected
Kashchenko_ZDnipraNaDunai,Kashchenko_PidKorsunem,4,undirected
Kashchenko_ZDnipraNaDunai,Koroliv_Chmelyk,2,undirected
Kashchenko_ZDnipraNaDunai,Nazaruk_KniazYaroslavOsmomysl,1,undirected
Khotkevych_KaminnaDushia,Fedkovych_Farmazony,2,undirected
Khotkevych_KaminnaDushia,Franko_PerekhresniStezhky,3,undirected
Khotkevych_KaminnaDushia,Mordovets_DviDoli,1,undirected
Khotkevych_KaminnaDushia,Ukrainka_Pryiazn,3,undirected
Khotkevych_KaminnaDushia,Vorobkevych_MestChornohortsia,1,undirected
Kobylianska_Liudyna,Franko_PerekhresniStezhky,5,undirected
Kobylianska_Liudyna,Iatskiv_Blyskavytsi,2,undirected
Kobylianska_Liudyna,Kobylianska_Zemlia,4,undirected
Kobylianska_Liudyna,Romanova_Akula,1,undirected
Kobylianska_Liudyna,Ukrainka_Zhal,1,undirected
Kobylianska_VNediliuRanoZilliaKopala,Barvinok_SkoshenyiTsvit,2,undirected
Kobylianska_VNediliuRanoZilliaKopala,Kobylianska_Zemlia,6,undirected
Kobylianska_VNediliuRanoZilliaKopala,Ukrainka_Pryiazn,1,undirected
Kobylianska_Zemlia,Franko_PerekhresniStezhky,1,undirected
Kobylianska_Zemlia,Kobylianska_Liudyna,4,undirected
Kobylianska_Zemlia,Kobylianska_VNediliuRanoZilliaKopala,6,undirected
Konyskyi_BabaIavdokha,Konyskyi_KhvoraDusha,5,undirected
Konyskyi_BabaIavdokha,Konyskyi_SemenZhuk,3,undirected
Konyskyi_BabaIavdokha,Myrnyi_KhibaRevutVoly,1,undirected
Konyskyi_BabaIavdokha,Vovchok_Kozachka,1,undirected
Konyskyi_KhvoraDusha,Konyskyi_BabaIavdokha,5,undirected
Konyskyi_KhvoraDusha,Myrnyi_KhibaRevutVoly,2,undirected
Konyskyi_KhvoraDusha,Myrnyi_LykhyiPoputav,1,undirected
Konyskyi_SemenZhuk,Franko_PerekhresniStezhky,3,undirected
Konyskyi_SemenZhuk,Franko_ZakharBerkut,1,undirected
Konyskyi_SemenZhuk,Konyskyi_BabaIavdokha,3,undirected
Konyskyi_SemenZhuk,Myrnyi_Durnytsia,2,undirected
Konyskyi_SemenZhuk,Myrnyi_KhibaRevutVoly,2,undirected
Konyskyi_SemenZhuk,Romanova_Akula,2,undirected
Konyskyi_SemenZhuk,Vynnychenko_ZapyskyKyrpatohoMefistofelia,2,undirected
Koroliv_Chmelyk,Kashchenko_PidKorsunem,3,undirected
Koroliv_Chmelyk,Kashchenko_ZDnipraNaDunai,2,undirected
Koroliv_Chmelyk,Nazaruk_KniazYaroslavOsmomysl,1,undirected
Kotsiubynskyi_TiniZabutykhPredkiv,Franko_BoaConstrictor,4,undirected
Kotsiubynskyi_TiniZabutykhPredkiv,Levytskyi_HetmanIvanVyhovskyi,1,undirected
Kotsiubynskyi_TiniZabutykhPredkiv,Mordovets_DviDoli,1,undirected
Kotsiubynskyi_TiniZabutykhPredkiv,Nazaruk_KniazYaroslavOsmomysl,2,undirected
Krymskyi_NePorozumiiutsia,Cherniavskyi_VaeVictis,1,undirected
Krymskyi_NePorozumiiutsia,Hrinchenko_SeredTemnoiNochi,2,undirected
Krymskyi_NePorozumiiutsia,Ukrainka_Pryiazn,3,undirected
Kulish_ChornaRada,Hrinchenko_PidTykhymyVerbamy,2,undirected
Kulish_ChornaRada,Myrnyi_KhibaRevutVoly,3,undirected
Kulish_ChornaRada,Vovchok_Instytutka,1,undirected
KulishBilozerska_NeBuloZmalku,Myrnyi_KhibaRevutVoly,3,undirected
KulishBilozerska_NeBuloZmalku,Myrnyi_LykhyiPoputav,2,undirected
KulishBilozerska_NeBuloZmalku,Vovchok_Instytutka,2,undirected
Kvitka_KonotopskaVidma,Kvitka_KozyrDivka,6,undirected
Kvitka_KonotopskaVidma,Kvitka_SerdeshnaOksana,2,undirected
Kvitka_KonotopskaVidma,Myrnyi_KhibaRevutVoly,1,undirected
Kvitka_KonotopskaVidma,Teslenko_StracheneZhyttie,5,undirected
Kvitka_KozyrDivka,Kvitka_KonotopskaVidma,6,undirected
Kvitka_KozyrDivka,Kvitka_SerdeshnaOksana,5,undirected
Kvitka_KozyrDivka,Myrnyi_KhibaRevutVoly,1,undirected
Kvitka_SerdeshnaOksana,Kvitka_KonotopskaVidma,2,undirected
Kvitka_SerdeshnaOksana,Kvitka_KozyrDivka,5,undirected
Kvitka_SerdeshnaOksana,Vovchok_Instytutka,1,undirected
Levytskyi_HetmanIvanVyhovskyi,Kashchenko_BortsiZaPravdu,3,undirected
Levytskyi_HetmanIvanVyhovskyi,Kotsiubynskyi_TiniZabutykhPredkiv,1,undirected
Levytskyi_HetmanIvanVyhovskyi,Nazaruk_KniazYaroslavOsmomysl,2,undirected
Levytskyi_HetmanIvanVyhovskyi,Teslenko_StracheneZhyttie,1,undirected
Makovei_KlopotySavchykhy,Fedkovych_Farmazony,1,undirected
Makovei_KlopotySavchykhy,Hrinchenko_SeredTemnoiNochi,1,undirected
Makovei_KlopotySavchykhy,Martovych_Zabobon,6,undirected
Makovei_KlopotySavchykhy,Ukrainka_Pryiazn,2,undirected
Martovych_Zabobon,Franko_PerekhresniStezhky,1,undirected
Martovych_Zabobon,Makovei_KlopotySavchykhy,6,undirected
Martovych_Zabobon,Nazaruk_KniazYaroslavOsmomysl,2,undirected
Mordovets_DviDoli,Khotkevych_KaminnaDushia,1,undirected
Mordovets_DviDoli,Kotsiubynskyi_TiniZabutykhPredkiv,1,undirected
Mordovets_DviDoli,Myrnyi_KhibaRevutVoly,3,undirected
Mordovets_DviDoli,Storozhenko_MarkoProkliatyi,6,undirected
Mordovets_DviDoli,Vorobkevych_MestChornohortsia,4,undirected
Mordovets_DviDoli,Vovchok_DeviatBrativ,1,undirected
Myrnyi_Durnytsia,Konyskyi_SemenZhuk,2,undirected
Myrnyi_Durnytsia,Myrnyi_KhibaRevutVoly,3,undirected
Myrnyi_Durnytsia,Vovchok_Instytutka,1,undirected
Myrnyi_KhibaRevutVoly,Cherniavskyi_VaeVictis,1,undirected
Myrnyi_KhibaRevutVoly,Hrinchenko_BratNaBrata,1,undirected
Myrnyi_KhibaRevutVoly,Hrinchenko_PidTykhymyVerbamy,2,undirected
Myrnyi_KhibaRevutVoly,Hrinchenko_SeredTemnoiNochi,4,undirected
Myrnyi_KhibaRevutVoly,Konyskyi_BabaIavdokha,1,undirected
Myrnyi_KhibaRevutVoly,Konyskyi_KhvoraDusha,2,undirected
Myrnyi_KhibaRevutVoly,Konyskyi_SemenZhuk,2,undirected
Myrnyi_KhibaRevutVoly,Kulish_ChornaRada,3,undirected
Myrnyi_KhibaRevutVoly,KulishBilozerska_NeBuloZmalku,3,undirected
Myrnyi_KhibaRevutVoly,Kvitka_KonotopskaVidma,1,undirected
Myrnyi_KhibaRevutVoly,Kvitka_KozyrDivka,1,undirected
Myrnyi_KhibaRevutVoly,Mordovets_DviDoli,3,undirected
Myrnyi_KhibaRevutVoly,Myrnyi_Durnytsia,3,undirected
Myrnyi_KhibaRevutVoly,Myrnyi_LykhyiPoputav,3,undirected
Myrnyi_KhibaRevutVoly,Storozhenko_MarkoProkliatyi,4,undirected
Myrnyi_KhibaRevutVoly,Teslenko_StracheneZhyttie,2,undirected
Myrnyi_KhibaRevutVoly,Vovchok_DeviatBrativ,2,undirected
Myrnyi_KhibaRevutVoly,Vovchok_Kozachka,2,undirected
Myrnyi_KhibaRevutVoly,Vovchok_VidSebeNeVtechesh,1,undirected
Myrnyi_LykhyiPoputav,Konyskyi_KhvoraDusha,1,undirected
Myrnyi_LykhyiPoputav,KulishBilozerska_NeBuloZmalku,2,undirected
Myrnyi_LykhyiPoputav,Myrnyi_KhibaRevutVoly,3,undirected
Myrnyi_LykhyiPoputav,Vovchok_Instytutka,3,undirected
Nazaruk_KniazYaroslavOsmomysl,Barvinok_SkoshenyiTsvit,1,undirected
Nazaruk_KniazYaroslavOsmomysl,Franko_BoaConstrictor,5,undirected
Nazaruk_KniazYaroslavOsmomysl,Franko_PerekhresniStezhky,2,undirected
Nazaruk_KniazYaroslavOsmomysl,Franko_ZakharBerkut,6,undirected
Nazaruk_KniazYaroslavOsmomysl,Kashchenko_BortsiZaPravdu,1,undirected
Nazaruk_KniazYaroslavOsmomysl,Kashchenko_PidKorsunem,1,undirected
Nazaruk_KniazYaroslavOsmomysl,Kashchenko_ZDnipraNaDunai,1,undirected
Nazaruk_KniazYaroslavOsmomysl,Koroliv_Chmelyk,1,undirected
Nazaruk_KniazYaroslavOsmomysl,Kotsiubynskyi_TiniZabutykhPredkiv,2,undirected
Nazaruk_KniazYaroslavOsmomysl,Levytskyi_HetmanIvanVyhovskyi,2,undirected
Nazaruk_KniazYaroslavOsmomysl,Martovych_Zabobon,2,undirected
Pchilka_Tovaryshky,Franko_PerekhresniStezhky,1,undirected
Pchilka_Tovaryshky,Ukrainka_NadMorem,1,undirected
Pchilka_Tovaryshky,Ukrainka_Pryiazn,2,undirected
Pchilka_Tovaryshky,Ukrainka_Zhal,6,undirected
Romanova_Akula,Kobylianska_Liudyna,1,undirected
Romanova_Akula,Konyskyi_SemenZhuk,2,undirected
Romanova_Akula,Ukrainka_Zhal,3,undirected
Storozhenko_MarkoProkliatyi,Fedkovych_Farmazony,3,undirected
Storozhenko_MarkoProkliatyi,Mordovets_DviDoli,6,undirected
Storozhenko_MarkoProkliatyi,Myrnyi_KhibaRevutVoly,4,undirected
Storozhenko_MarkoProkliatyi,Vovchok_DeviatBrativ,4,undirected
Storozhenko_MarkoProkliatyi,Vovchok_VidSebeNeVtechesh,2,undirected
Teslenko_StracheneZhyttie,Kvitka_KonotopskaVidma,5,undirected
Teslenko_StracheneZhyttie,Levytskyi_HetmanIvanVyhovskyi,1,undirected
Teslenko_StracheneZhyttie,Myrnyi_KhibaRevutVoly,2,undirected
Ukrainka_NadMorem,Franko_PerekhresniStezhky,2,undirected
Ukrainka_NadMorem,Pchilka_Tovaryshky,1,undirected
Ukrainka_NadMorem,Ukrainka_Zhal,5,undirected
Ukrainka_NadMorem,Vynnychenko_ZapyskyKyrpatohoMefistofelia,3,undirected
Ukrainka_Pryiazn,Barvinok_SkoshenyiTsvit,3,undirected
Ukrainka_Pryiazn,Khotkevych_KaminnaDushia,3,undirected
Ukrainka_Pryiazn,Kobylianska_VNediliuRanoZilliaKopala,1,undirected
Ukrainka_Pryiazn,Krymskyi_NePorozumiiutsia,3,undirected
Ukrainka_Pryiazn,Makovei_KlopotySavchykhy,2,undirected
Ukrainka_Pryiazn,Pchilka_Tovaryshky,2,undirected
Ukrainka_Pryiazn,Ukrainka_Zhal,3,undirected
Ukrainka_Zhal,Kobylianska_Liudyna,1,undirected
Ukrainka_Zhal,Pchilka_Tovaryshky,6,undirected
Ukrainka_Zhal,Romanova_Akula,3,undirected
Ukrainka_Zhal,Ukrainka_NadMorem,5,undirected
Ukrainka_Zhal,Ukrainka_Pryiazn,3,undirected
Vorobkevych_MestChornohortsia,Franko_ZakharBerkut,2,undirected
Vorobkevych_MestChornohortsia,Khotkevych_KaminnaDushia,1,undirected
Vorobkevych_MestChornohortsia,Mordovets_DviDoli,4,undirected
Vovchok_DeviatBrativ,Mordovets_DviDoli,1,undirected
Vovchok_DeviatBrativ,Myrnyi_KhibaRevutVoly,2,undirected
Vovchok_DeviatBrativ,Storozhenko_MarkoProkliatyi,4,undirected
Vovchok_Instytutka,Kulish_ChornaRada,1,undirected
Vovchok_Instytutka,KulishBilozerska_NeBuloZmalku,2,undirected
Vovchok_Instytutka,Kvitka_SerdeshnaOksana,1,undirected
Vovchok_Instytutka,Myrnyi_Durnytsia,1,undirected
Vovchok_Instytutka,Myrnyi_LykhyiPoputav,3,undirected
Vovchok_Instytutka,Vovchok_Kozachka,5,undirected
Vovchok_Instytutka,Vovchok_VidSebeNeVtechesh,6,undirected
Vovchok_Kozachka,Konyskyi_BabaIavdokha,1,undirected
Vovchok_Kozachka,Myrnyi_KhibaRevutVoly,2,undirected
Vovchok_Kozachka,Vovchok_Instytutka,5,undirected
Vovchok_VidSebeNeVtechesh,Myrnyi_KhibaRevutVoly,1,undirected
Vovchok_VidSebeNeVtechesh,Storozhenko_MarkoProkliatyi,2,undirected
Vovchok_VidSebeNeVtechesh,Vovchok_Instytutka,6,undirected
Vynnychenko_ZapyskyKyrpatohoMefistofelia,Franko_PerekhresniStezhky,1,undirected
Vynnychenko_ZapyskyKyrpatohoMefistofelia,Konyskyi_SemenZhuk,2,undirected
Vynnychenko_ZapyskyKyrpatohoMefistofelia,Ukrainka_NadMorem,3,undirected
